"country","code","year","value","population","GdpPerCapita"
"China","CHN",1960,59716467625.3148,667070000,89.5205415103584
"China","CHN",1961,50056868957.6732,660330000,75.8058379259964
"China","CHN",1962,47209359005.6056,665770000,70.9094116671006
"China","CHN",1963,50706799902.5103,682335000,74.3136434486144
"China","CHN",1964,59708343488.5043,698355000,85.4985551596313
"China","CHN",1965,70436266146.7219,715185000,98.4867777522206
"China","CHN",1966,76720285969.6157,735400000,104.324566181147
"China","CHN",1967,72881631326.6715,754550000,96.5895319417819
"China","CHN",1968,70846535055.6503,774510000,91.4727183066072
"China","CHN",1969,79705906247.4612,796025000,100.12990326618
"China","CHN",1970,92602973434.0726,818315000,113.162991554686
"China","CHN",1971,99800958648.1436,841105000,118.654577785346
"China","CHN",1972,113687586299.051,862030000,131.883561243867
"China","CHN",1973,138544284708.957,881940000,157.090374298656
"China","CHN",1974,144182133387.722,900350000,160.140093727686
"China","CHN",1975,163431551779.761,916395000,178.341819608096
"China","CHN",1976,153940455341.506,930685000,165.40554037242
"China","CHN",1977,174938098826.569,943455000,185.422832913673
"China","CHN",1978,149540752829.268,956165000,156.396388520044
"China","CHN",1979,178280594413.043,969005000,183.983152215977
"China","CHN",1980,191149211575,981235000,194.804722186836
"China","CHN",1981,195866382432.54,993885000,197.071474499102
"China","CHN",1982,205089699858.779,1008630000,203.334919503464
"China","CHN",1983,230686747153.257,1023310000,225.431928890812
"China","CHN",1984,259946510957.143,1036825000,250.713969046988
"China","CHN",1985,309488028132.653,1051040000,294.45884850496
"China","CHN",1986,300758100107.246,1066790000,281.928120911563
"China","CHN",1987,272972974764.574,1084035000,251.811956961329
"China","CHN",1988,312353631207.819,1101630000,283.537695240524
"China","CHN",1989,347768051311.741,1118650000,310.8819124049
"China","CHN",1990,360857912565.966,1135185000,317.884673040928
"China","CHN",1991,383373318083.624,1150780000,333.142145400184
"China","CHN",1992,426915712711.146,1164970000,366.460692302073
"China","CHN",1993,444731282436.762,1178440000,377.389839479958
"China","CHN",1994,564324670005.917,1191835000,473.492278718042
"China","CHN",1995,734547898220.508,1204855000,609.656679202483
"China","CHN",1996,863746717503.789,1217550000,709.413755085039
"China","CHN",1997,961603952951.82,1230075000,781.744164341052
"China","CHN",1998,1029043097554.08,1241935000,828.58047929568
"China","CHN",1999,1093997267271.06,1252735000,873.287061725792
"China","CHN",2000,1211346869605.24,1262645000,959.372483639693
"China","CHN",2001,1339395718865.3,1271850000,1053.10824300452
"China","CHN",2002,1470550015081.55,1280400000,1148.5082904417
"China","CHN",2003,1660287965662.68,1288400000,1288.64325183381
"China","CHN",2004,1955347004963.27,1296075000,1508.66809788266
"China","CHN",2005,2285965892360.54,1303720000,1753.41782925823
"China","CHN",2006,2752131773355.16,1311020000,2099.22943460448
"China","CHN",2007,3552182311652.97,1317885000,2695.36591709669
"China","CHN",2008,4598206091384,1324655000,3471.2480543115
"China","CHN",2009,5109953609257.25,1331260000,3838.43397176904
"China","CHN",2010,6100620488867.55,1337705000,4560.51258600929
"China","CHN",2011,7572553836875.34,1344130000,5633.7957168394
"China","CHN",2012,8560547314679.28,1350695000,6337.88332279255
"China","CHN",2013,9607224481532.65,1357380000,7077.77076539558
"China","CHN",2014,10482372109961.9,1364270000,7683.50261309118
"China","CHN",2015,11064666282625.5,1371220000,8069.21302389514
"China","CHN",2016,11199145157649.2,1378665000,8123.18087254641
